"Industry","Total"
"Pharmaceuticals/Health Products","$285939644"
"Insurance","$159291694"
"Electronics Mfg & Equip","$148843753"
"Business Associations","$146849885"
"Oil & Gas","$126881199"
"Electric Utilities","$124396276"
"Real Estate","$119215109"
"Hospitals/Nursing Homes","$105843101"
"Securities & Investment","$105611572"
"Misc Manufacturing & Distributing","$96777819"
"Telecom Services","$95025065"
"Air Transport","$93583450"
"Civil Servants/Public Officials","$89056737"
"Health Professionals","$88957222"
"Health Services/HMOs","$86803425"
"Education","$76323824"
"Internet","$73239326"
"Non-Profit Institutions","$71134325"
"Automotive","$70385257"
"TV/Movies/Music","$66792011"