Branches,"ID",New Charters,"STNAME",Total,Year
69997,"CB_2023_USA",9,"United States & Other Areas",4036,2023
69905,"CB_2022_USA",14,"United States & Other Areas",4136,2022
70644,"CB_2021_USA",9,"United States & Other Areas",4238,2021
73107,"CB_2020_USA",7,"United States & Other Areas",4379,2020
75076,"CB_2019_USA",13,"United States & Other Areas",4526,2019
77134,"CB_2018_USA",7,"United States & Other Areas",4717,2018
78196,"CB_2017_USA",5,"United States & Other Areas",4918,2017
79499,"CB_2016_USA",0,"United States & Other Areas",5112,2016
80958,"CB_2015_USA",1,"United States & Other Areas",5340,2015
81405,"CB_2014_USA",0,"United States & Other Areas",5607,2014
82126,"CB_2013_USA",1,"United States & Other Areas",5847,2013
82965,"CB_2012_USA",1,"United States & Other Areas",6072,2012
82564,"CB_2011_USA",5,"United States & Other Areas",6275,2011
82011,"CB_2010_USA",10,"United States & Other Areas",6519,2010
82490,"CB_2009_USA",29,"United States & Other Areas",6829,2009
82422,"CB_2008_USA",91,"United States & Other Areas",7077,2008
78620,"CB_2007_USA",176,"United States & Other Areas",7279,2007
76023,"CB_2006_USA",179,"United States & Other Areas",7397,2006
72958,"CB_2005_USA",167,"United States & Other Areas",7523,2005
70313,"CB_2004_USA",122,"United States & Other Areas",7628,2004
67592,"CB_2003_USA",110,"United States & Other Areas",7767,2003
66269,"CB_2002_USA",91,"United States & Other Areas",7887,2002
64994,"CB_2001_USA",127,"United States & Other Areas",8082,2001
64213,"CB_2000_USA",190,"United States & Other Areas",8315,2000
63631,"CB_1999_USA",232,"United States & Other Areas",8582,1999
61940,"CB_1998_USA",189,"United States & Other Areas",8775,1998
60204,"CB_1997_USA",188,"United States & Other Areas",9144,1997
57611,"CB_1996_USA",145,"United States & Other Areas",9530,1996
56176,"CB_1995_USA",102,"United States & Other Areas",9943,1995
54384,"CB_1994_USA",50,"United States & Other Areas",10453,1994
52259,"CB_1993_USA",59,"United States & Other Areas",10961,1993
51381,"CB_1992_USA",73,"United States & Other Areas",11467,1992
51778,"CB_1991_USA",106,"United States & Other Areas",11927,1991
50199,"CB_1990_USA",165,"United States & Other Areas",12347,1990
47789,"CB_1989_USA",193,"United States & Other Areas",12715,1989
46167,"CB_1988_USA",229,"United States & Other Areas",13137,1988
45155,"CB_1987_USA",219,"United States & Other Areas",13723,1987
44162,"CB_1986_USA",257,"United States & Other Areas",14210,1986
43041,"CB_1985_USA",331,"United States & Other Areas",14417,1985
41625,"CB_1984_USA",391,"United States & Other Areas",14496,1984
40853,"CB_1983_USA",,"United States & Other Areas",14469,1983
39783,"CB_1982_USA",,"United States & Other Areas",14451,1982
40786,"CB_1981_USA",,"United States & Other Areas",14414,1981
38738,"CB_1980_USA",,"United States & Other Areas",14434,1980
36791,"CB_1979_USA",,"United States & Other Areas",14364,1979
34791,"CB_1978_USA",,"United States & Other Areas",14391,1978
33108,"CB_1977_USA",,"United States & Other Areas",14411,1977
31344,"CB_1976_USA",,"United States & Other Areas",14410,1976
30205,"CB_1975_USA",,"United States & Other Areas",14384,1975
28651,"CB_1974_USA",,"United States & Other Areas",14230,1974
26673,"CB_1973_USA",,"United States & Other Areas",13976,1973
24829,"CB_1972_USA",,"United States & Other Areas",13733,1972
23336,"CB_1971_USA",,"United States & Other Areas",13612,1971
21839,"CB_1970_USA",,"United States & Other Areas",13511,1970
20379,"CB_1969_USA",,"United States & Other Areas",13473,1969
19183,"CB_1968_USA",,"United States & Other Areas",13487,1968
18079,"CB_1967_USA",,"United States & Other Areas",13514,1967
17029,"CB_1966_USA",,"United States & Other Areas",13538,1966
15872,"CB_1965_USA",,"United States & Other Areas",13544,1965
14699,"CB_1964_USA",,"United States & Other Areas",13493,1964
13581,"CB_1963_USA",,"United States & Other Areas",13291,1963
12421,"CB_1962_USA",,"United States & Other Areas",13124,1962
11436,"CB_1961_USA",,"United States & Other Areas",13115,1961
10556,"CB_1960_USA",,"United States & Other Areas",13126,1960
9732,"CB_1959_USA",,"United States & Other Areas",13114,1959
8955,"CB_1958_USA",,"United States & Other Areas",13124,1958
8267,"CB_1957_USA",,"United States & Other Areas",13165,1957
7639,"CB_1956_USA",,"United States & Other Areas",13218,1956
6965,"CB_1955_USA",,"United States & Other Areas",13237,1955
6346,"CB_1954_USA",,"United States & Other Areas",13323,1954
5855,"CB_1953_USA",,"United States & Other Areas",13432,1953
5486,"CB_1952_USA",,"United States & Other Areas",13439,1952
5157,"CB_1951_USA",,"United States & Other Areas",13455,1951
4832,"CB_1950_USA",,"United States & Other Areas",13446,1950
4530,"CB_1949_USA",,"United States & Other Areas",13436,1949
4283,"CB_1948_USA",,"United States & Other Areas",13419,1948
4096,"CB_1947_USA",,"United States & Other Areas",13403,1947
3928,"CB_1946_USA",,"United States & Other Areas",13359,1946
3896,"CB_1945_USA",,"United States & Other Areas",13302,1945
3875,"CB_1944_USA",,"United States & Other Areas",13268,1944
3744,"CB_1943_USA",,"United States & Other Areas",13274,1943
3555,"CB_1942_USA",,"United States & Other Areas",13347,1942
3517,"CB_1941_USA",,"United States & Other Areas",13430,1941
3489,"CB_1940_USA",,"United States & Other Areas",13442,1940
3456,"CB_1939_USA",,"United States & Other Areas",13538,1939
3412,"CB_1938_USA",,"United States & Other Areas",13661,1938
3381,"CB_1937_USA",,"United States & Other Areas",13797,1937
3261,"CB_1936_USA",,"United States & Other Areas",13973,1936
3112,"CB_1935_USA",,"United States & Other Areas",14125,1935
0,"CB_1934_USA",,"United States & Other Areas",14146,1934